Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumberCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,No,Travel_Rarely,Research & Development,6,Bachelors,Medical,466,Very High,Male,Medium,Experienced,Manufacturing Director,Medium,Single,6032,6,Yes,15,Excellent,Very High,None,8,3,Better,5,4,1,2
47,No,Travel_Frequently,Sales,4,Below College,Medical,467,Medium,Male,High,Experienced,Sales Representative,High,Single,2976,3,No,19,Excellent,Low,None,5,3,Better,0,0,0,0
42,No,Travel_Rarely,Research & Development,23,Doctorate,Life Sciences,468,Low,Female,High,Manager,Research Director,Very High,Single,15992,2,No,14,Excellent,Medium,None,16,2,Better,1,0,0,0
29,No,Non-Travel,Sales,2,Bachelors,Life Sciences,469,Very High,Male,High,Experienced,Sales Executive,High,Married,4649,1,No,14,Excellent,Low,Low,4,3,Good,4,3,0,2
42,No,Travel_Rarely,Human Resources,2,Below College,Technical Degree,470,High,Male,High,Entry,Human Resources,High,Divorced,2696,0,Yes,11,Excellent,High,Low,4,5,Better,3,2,1,0
32,No,Travel_Rarely,Research & Development,2,Bachelors,Medical,471,High,Female,High,Entry,Laboratory Technician,Medium,Married,2370,1,No,13,Excellent,High,Low,8,4,Better,8,0,0,7
48,No,Travel_Rarely,Sales,29,Below College,Medical,473,Low,Female,High,Senior,Manager,High,Married,12504,3,No,21,Outstanding,Medium,Low,15,3,Bad,0,0,0,0
37,No,Travel_Rarely,Research & Development,6,Bachelors,Medical,474,High,Male,Very High,Experienced,Research Scientist,Low,Divorced,5974,4,Yes,13,Excellent,Low,Medium,13,2,Better,7,7,6,7
30,No,Non-Travel,Sales,25,College,Technical Degree,475,Very High,Female,High,Experienced,Sales Executive,High,Married,4736,7,Yes,12,Excellent,Medium,Low,4,2,Best,2,2,2,2
26,No,Travel_Rarely,Sales,1,Bachelors,Life Sciences,476,High,Male,High,Experienced,Sales Executive,High,Married,5296,1,No,17,Excellent,Medium,Low,8,3,Better,8,7,7,7
42,No,Travel_Rarely,Research & Development,2,Masters,Other,477,Low,Male,Medium,Experienced,Healthcare Representative,Very High,Single,6781,3,No,23,Outstanding,Medium,None,14,6,Better,1,0,0,0
21,Yes,Travel_Frequently,Sales,1,Below College,Technical Degree,478,Low,Female,Medium,Entry,Sales Representative,Medium,Single,2174,1,Yes,11,Excellent,High,None,3,3,Better,3,2,1,2
36,No,Non-Travel,Sales,1,Doctorate,Medical,479,Very High,Female,High,Experienced,Sales Executive,Very High,Single,6653,4,No,15,Excellent,Medium,None,7,6,Better,1,0,0,0
36,No,Travel_Frequently,Sales,3,Masters,Medical,481,Low,Male,Medium,Senior,Sales Executive,Very High,Married,9699,4,No,11,Excellent,Low,Low,16,2,Better,13,9,1,12
57,No,Travel_Rarely,Research & Development,1,Masters,Medical,482,Very High,Male,High,Experienced,Healthcare Representative,High,Married,6755,2,No,11,Excellent,High,None,15,2,Better,3,2,1,2
40,No,Travel_Rarely,Research & Development,10,Masters,Life Sciences,483,Very High,Female,Very High,Entry,Laboratory Technician,High,Married,2213,3,Yes,13,Excellent,High,Low,10,3,Better,7,7,1,7
21,No,Non-Travel,Sales,9,College,Medical,484,Low,Male,High,Entry,Sales Representative,Very High,Single,2610,1,No,24,Outstanding,High,None,3,3,Good,3,2,2,2
33,Yes,Travel_Rarely,Sales,5,Bachelors,Marketing,485,Very High,Female,High,Entry,Sales Representative,High,Single,2851,1,Yes,13,Excellent,Medium,None,1,2,Better,1,0,0,0
37,No,Travel_Rarely,Research & Development,10,Bachelors,Medical,486,High,Female,High,Entry,Laboratory Technician,Low,Married,3452,6,No,20,Outstanding,Medium,Low,17,3,Better,5,4,0,3
46,No,Non-Travel,Research & Development,7,Masters,Medical,487,High,Female,High,Experienced,Manufacturing Director,High,Married,5258,2,No,14,Excellent,High,None,7,2,Best,1,0,0,0
41,Yes,Travel_Frequently,Sales,4,Bachelors,Marketing,488,Low,Male,High,Experienced,Sales Executive,Medium,Single,9355,1,No,18,Excellent,High,None,8,5,Better,8,7,7,7
50,No,Travel_Rarely,Research & Development,10,Bachelors,Technical Degree,491,Very High,Male,Medium,Senior,Healthcare Representative,Very High,Single,10496,6,No,15,Excellent,Very High,None,20,2,Better,4,3,1,3
40,Yes,Travel_Rarely,Sales,22,College,Marketing,492,High,Male,Medium,Experienced,Sales Executive,High,Married,6380,2,Yes,12,Excellent,Low,Medium,8,6,Better,6,4,1,0
31,No,Travel_Rarely,Research & Development,9,Masters,Life Sciences,493,High,Male,Medium,Entry,Research Scientist,Medium,Single,2657,0,Yes,16,Excellent,Very High,None,3,5,Better,2,2,2,2
21,Yes,Travel_Rarely,Sales,12,Bachelors,Life Sciences,494,High,Female,Very High,Entry,Sales Representative,Medium,Single,2716,1,No,15,Excellent,Very High,None,1,0,Better,1,0,0,0
29,No,Travel_Rarely,Research & Development,23,Bachelors,Life Sciences,495,Very High,Male,High,Entry,Research Scientist,Very High,Single,2201,9,No,16,Excellent,Very High,None,6,4,Better,3,2,1,2
35,No,Travel_Rarely,Research & Development,9,Masters,Life Sciences,496,High,Male,Medium,Experienced,Healthcare Representative,Medium,Single,6540,9,No,19,Excellent,High,None,10,5,Better,1,1,0,0
27,No,Travel_Rarely,Research & Development,1,College,Medical,497,Very High,Male,High,Entry,Laboratory Technician,Medium,Divorced,3816,1,No,11,Excellent,Medium,Low,5,2,Better,5,2,0,4
28,No,Travel_Rarely,Sales,9,Masters,Life Sciences,498,Medium,Male,High,Experienced,Sales Executive,Very High,Single,5253,1,No,16,Excellent,Very High,None,7,1,Better,7,5,0,7
49,No,Travel_Rarely,Research & Development,7,Bachelors,Other,499,Medium,Male,Medium,Senior,Healthcare Representative,High,Single,10965,8,No,24,Outstanding,High,None,26,2,Better,5,2,0,0
51,No,Travel_Rarely,Sales,14,College,Life Sciences,500,High,Female,High,Experienced,Sales Executive,Very High,Married,4936,4,No,11,Excellent,High,Low,18,2,Good,7,7,0,7
36,No,Travel_Rarely,Research & Development,2,Bachelors,Life Sciences,501,Very High,Female,High,Entry,Research Scientist,High,Married,2543,4,No,13,Excellent,Medium,Low,6,3,Better,2,2,2,2
34,Yes,Non-Travel,Sales,19,Bachelors,Marketing,502,Low,Male,Very High,Experienced,Sales Executive,Very High,Single,5304,8,Yes,13,Excellent,Medium,None,9,3,Good,5,2,0,4
55,No,Travel_Rarely,Research & Development,2,Bachelors,Life Sciences,505,High,Female,High,Manager,Manager,Very High,Single,16659,2,Yes,13,Excellent,High,None,30,2,Better,5,4,1,2
24,No,Travel_Rarely,Sales,10,Masters,Marketing,507,Very High,Female,High,Experienced,Sales Executive,High,Divorced,4260,1,Yes,12,Excellent,Very High,Low,5,2,Best,5,2,0,3
30,No,Travel_Rarely,Sales,2,Below College,Technical Degree,508,High,Male,High,Entry,Sales Representative,Medium,Married,2476,1,No,18,Excellent,Low,Low,1,3,Better,1,0,0,0
26,Yes,Travel_Frequently,Research & Development,3,Below College,Technical Degree,510,High,Male,High,Entry,Research Scientist,Low,Single,3102,0,No,22,Outstanding,High,None,7,2,Better,6,4,0,4
22,No,Travel_Rarely,Research & Development,11,Bachelors,Medical,511,Low,Female,High,Entry,Research Scientist,Medium,Married,2244,1,No,13,Excellent,Very High,Low,2,1,Better,2,1,1,2
36,No,Travel_Rarely,Sales,2,College,Medical,513,Medium,Male,Medium,Senior,Sales Executive,High,Married,7596,1,No,13,Excellent,Medium,Medium,10,2,Better,10,9,9,0
30,Yes,Travel_Frequently,Research & Development,4,Bachelors,Technical Degree,514,High,Male,High,Entry,Research Scientist,Very High,Single,2285,9,Yes,23,Outstanding,High,None,3,4,Better,1,0,0,0
37,No,Travel_Rarely,Research & Development,14,Bachelors,Life Sciences,515,Very High,Female,High,Entry,Laboratory Technician,Low,Divorced,3034,1,No,12,Excellent,High,Low,18,2,Good,18,7,12,17
40,No,Travel_Rarely,Sales,2,College,Marketing,516,Very High,Female,High,Experienced,Sales Executive,Medium,Divorced,5715,7,No,12,Excellent,High,Medium,8,5,Better,5,4,1,3
42,No,Travel_Rarely,Research & Development,1,Masters,Life Sciences,517,Medium,Female,High,Entry,Laboratory Technician,Low,Divorced,2576,3,No,16,Excellent,Medium,Low,8,5,Better,5,2,1,2
37,No,Travel_Rarely,Research & Development,10,Masters,Life Sciences,518,High,Male,High,Experienced,Manufacturing Director,Medium,Single,4197,2,Yes,12,Excellent,Very High,None,18,2,Good,1,0,0,1
43,No,Travel_Rarely,Research & Development,12,Bachelors,Life Sciences,520,Low,Male,Medium,Manager,Research Director,Medium,Divorced,14336,1,No,11,Excellent,High,Low,25,3,Better,25,10,3,9
40,No,Travel_Rarely,Research & Development,2,Bachelors,Medical,521,Medium,Female,Medium,Experienced,Laboratory Technician,High,Married,3448,6,No,22,Outstanding,Medium,Low,20,3,Better,1,0,0,0
54,No,Travel_Rarely,Research & Development,5,College,Medical,522,Low,Male,High,Director,Research Director,Low,Married,19406,4,No,11,Excellent,High,Low,24,4,Good,4,2,1,2
34,No,Non-Travel,Sales,4,Masters,Marketing,523,High,Female,High,Experienced,Sales Executive,High,Married,6538,9,No,15,Excellent,Low,Low,6,3,Better,3,2,1,2
31,No,Travel_Rarely,Research & Development,7,College,Medical,524,Medium,Female,High,Experienced,Manufacturing Director,Low,Married,4306,1,No,12,Excellent,Medium,Low,13,5,Bad,13,10,3,12
43,No,Travel_Frequently,Research & Development,21,Bachelors,Medical,525,Very High,Male,High,Entry,Laboratory Technician,Very High,Married,2258,7,No,20,Outstanding,Low,Low,8,1,Better,3,2,1,2
43,No,Travel_Rarely,Research & Development,8,Masters,Other,526,High,Female,High,Experienced,Healthcare Representative,High,Divorced,4522,4,Yes,14,Excellent,Very High,None,8,3,Better,5,2,0,2
25,No,Travel_Rarely,Sales,4,College,Life Sciences,527,Medium,Female,Medium,Experienced,Sales Executive,Very High,Single,4487,1,Yes,11,Excellent,Medium,None,5,3,Better,5,4,1,3
37,No,Non-Travel,Research & Development,25,Doctorate,Medical,529,Medium,Female,High,Experienced,Research Scientist,High,Married,4449,3,Yes,15,Excellent,Low,Medium,15,2,Better,13,11,10,7
31,No,Travel_Rarely,Research & Development,1,College,Life Sciences,530,Very High,Male,Medium,Entry,Laboratory Technician,Low,Married,2218,1,No,12,Excellent,High,Low,4,3,Better,4,2,3,2
39,No,Travel_Frequently,Research & Development,1,Below College,Life Sciences,531,Medium,Male,High,Director,Manager,High,Divorced,19197,1,Yes,14,Excellent,High,Low,21,3,Better,21,8,1,6
56,No,Travel_Frequently,Sales,6,Bachelors,Life Sciences,532,High,Female,Very High,Manager,Sales Executive,Low,Married,13212,9,No,11,Excellent,Very High,High,36,0,Good,7,7,7,7
30,No,Travel_Rarely,Sales,12,Bachelors,Technical Degree,533,Medium,Female,High,Experienced,Sales Executive,High,Single,6577,0,No,11,Excellent,Medium,None,6,6,Better,5,4,4,4
41,No,Travel_Rarely,Sales,1,Bachelors,Marketing,534,Medium,Male,Very High,Senior,Sales Executive,Low,Married,8392,1,No,16,Excellent,High,Low,10,2,Better,10,7,0,7
28,No,Travel_Rarely,Research & Development,17,College,Medical,536,High,Male,High,Experienced,Laboratory Technician,Low,Divorced,4558,1,No,12,Excellent,Very High,Low,10,2,Better,10,0,1,8
25,Yes,Travel_Rarely,Research & Development,3,Bachelors,Medical,538,Low,Male,High,Entry,Laboratory Technician,Low,Married,4031,5,No,13,Excellent,High,Low,6,5,Better,2,2,0,2
52,No,Travel_Rarely,Research & Development,3,Bachelors,Medical,543,Very High,Male,Medium,Senior,Manufacturing Director,High,Married,7969,2,Yes,14,Excellent,High,None,28,4,Better,5,4,0,4
45,No,Travel_Rarely,Research & Development,10,College,Life Sciences,544,Low,Male,High,Entry,Research Scientist,Very High,Married,2654,3,No,21,Outstanding,Very High,Medium,8,3,Good,2,2,0,2
52,No,Travel_Rarely,Research & Development,4,College,Life Sciences,546,Very High,Female,High,Manager,Manager,Very High,Married,16555,2,No,13,Excellent,Very High,None,31,2,Bad,5,2,1,4
42,No,Travel_Frequently,Research & Development,29,College,Life Sciences,547,Low,Female,High,Experienced,Research Scientist,High,Divorced,4556,2,No,11,Excellent,Medium,Low,19,3,Better,5,4,0,2
30,No,Travel_Rarely,Research & Development,2,Bachelors,Life Sciences,548,High,Female,Low,Experienced,Manufacturing Director,Very High,Single,6091,2,No,20,Outstanding,High,None,11,2,Better,5,4,0,2
60,No,Travel_Rarely,Research & Development,7,Bachelors,Life Sciences,549,Low,Female,High,Director,Manager,Low,Married,19566,5,No,11,Excellent,Very High,None,33,5,Bad,29,8,11,10
46,No,Travel_Rarely,Research & Development,18,Bachelors,Medical,550,High,Female,High,Experienced,Manufacturing Director,High,Divorced,4810,2,No,14,Excellent,High,Low,19,5,Good,10,7,0,8
42,No,Travel_Frequently,Research & Development,28,Masters,Technical Degree,551,Very High,Female,Medium,Experienced,Healthcare Representative,Very High,Married,4523,0,No,11,Excellent,Very High,High,7,4,Best,6,5,0,4
24,Yes,Travel_Rarely,Sales,1,Below College,Technical Degree,554,Low,Female,High,Entry,Sales Representative,Medium,Single,3202,1,Yes,16,Excellent,Medium,None,6,4,Better,5,3,1,4
34,Yes,Travel_Frequently,Sales,6,College,Marketing,555,Very High,Female,Low,Entry,Sales Representative,High,Divorced,2351,0,No,16,Excellent,Very High,Low,3,3,Good,2,2,1,0
38,No,Travel_Frequently,Research & Development,2,College,Life Sciences,556,Very High,Male,High,Entry,Laboratory Technician,Very High,Married,1702,1,Yes,23,Outstanding,High,Low,1,3,Better,1,0,0,0
40,No,Travel_Rarely,Sales,2,Masters,Life Sciences,558,High,Female,High,Director,Manager,High,Married,18041,0,No,14,Excellent,Very High,None,21,2,Better,20,15,1,12
26,No,Travel_Rarely,Research & Development,23,Bachelors,Life Sciences,560,Low,Female,High,Entry,Research Scientist,Very High,Divorced,2886,1,No,22,Outstanding,Medium,Medium,3,3,Bad,3,2,0,2
30,No,Non-Travel,Research & Development,3,Bachelors,Life Sciences,562,High,Male,High,Entry,Laboratory Technician,Very High,Married,2097,4,No,15,Excellent,High,Low,9,3,Bad,5,3,1,4
29,No,Travel_Rarely,Research & Development,3,Masters,Medical,564,Medium,Male,Medium,Senior,Research Director,High,Married,11935,1,No,18,Excellent,High,None,10,2,Better,10,2,0,7
29,Yes,Travel_Rarely,Research & Development,25,Doctorate,Technical Degree,565,High,Female,Medium,Entry,Research Scientist,Medium,Married,2546,5,No,16,Excellent,Medium,None,6,2,Best,2,2,1,1
19,Yes,Travel_Rarely,Human Resources,2,College,Technical Degree,566,Low,Male,Medium,Entry,Human Resources,Very High,Single,2564,1,No,12,Excellent,High,None,1,3,Best,1,0,0,0
30,No,Non-Travel,Sales,22,Masters,Other,567,High,Female,High,Senior,Sales Executive,Low,Married,8412,0,No,11,Excellent,High,None,10,3,Better,9,8,7,8
57,No,Travel_Rarely,Sales,29,Bachelors,Marketing,568,Low,Male,Medium,Manager,Manager,Very High,Divorced,14118,3,No,12,Excellent,High,Low,32,3,Good,1,0,0,0
50,No,Travel_Rarely,Research & Development,29,Masters,Life Sciences,569,Medium,Male,Medium,Manager,Manager,High,Married,17046,0,No,15,Excellent,Medium,Low,28,2,Better,27,10,15,7
30,No,Non-Travel,Research & Development,2,Bachelors,Medical,571,High,Female,High,Entry,Laboratory Technician,Very High,Single,2564,0,No,14,Excellent,High,None,12,2,Good,11,7,6,7
60,No,Travel_Frequently,Sales,28,Bachelors,Marketing,573,High,Female,Medium,Senior,Sales Executive,Low,Married,10266,4,No,19,Excellent,Very High,None,22,5,Best,18,13,13,11
47,No,Travel_Rarely,Research & Development,2,College,Medical,574,Low,Female,High,Experienced,Manufacturing Director,Very High,Divorced,5070,5,No,13,Excellent,High,High,20,2,Better,5,0,0,4
46,No,Travel_Rarely,Research & Development,2,Bachelors,Life Sciences,575,Low,Male,High,Manager,Research Director,High,Married,17861,6,No,13,Excellent,High,None,26,2,Bad,3,2,0,1
35,No,Travel_Rarely,Research & Development,22,Bachelors,Life Sciences,577,Very High,Male,Low,Entry,Laboratory Technician,High,Single,4230,0,No,15,Excellent,High,None,6,2,Better,5,4,4,3
54,No,Travel_Rarely,Research & Development,8,Masters,Life Sciences,578,High,Female,High,Experienced,Laboratory Technician,High,Single,3780,7,No,11,Excellent,High,None,19,3,Better,1,0,0,0
34,No,Travel_Rarely,Research & Development,2,Masters,Life Sciences,579,Very High,Male,Medium,Entry,Research Scientist,High,Divorced,2768,3,No,12,Excellent,High,Low,14,3,Better,7,3,5,7
46,No,Travel_Rarely,Sales,10,Bachelors,Marketing,580,High,Female,Medium,Senior,Sales Executive,Very High,Married,9071,2,Yes,19,Excellent,High,Low,15,3,Better,3,2,1,2
31,No,Travel_Rarely,Research & Development,9,Below College,Life Sciences,581,High,Male,High,Senior,Manufacturing Director,Medium,Divorced,10648,1,No,25,Outstanding,Very High,Low,13,6,Best,13,8,0,8
33,Yes,Travel_Rarely,Research & Development,15,Below College,Medical,582,Medium,Male,High,Senior,Manager,High,Married,13610,7,Yes,12,Excellent,Very High,None,15,2,Best,7,6,7,7
33,Yes,Travel_Rarely,Research & Development,10,Below College,Medical,584,Low,Male,Low,Entry,Laboratory Technician,Very High,Divorced,3408,7,No,13,Excellent,Low,High,8,2,Better,4,3,1,3
30,No,Travel_Rarely,Sales,7,Below College,Marketing,585,Very High,Male,High,Entry,Sales Representative,Medium,Single,2983,0,No,14,Excellent,Low,None,4,3,Better,3,2,1,2
35,No,Travel_Rarely,Research & Development,16,Bachelors,Life Sciences,586,Very High,Male,High,Senior,Healthcare Representative,High,Married,7632,4,Yes,12,Excellent,High,None,10,2,Better,8,7,0,0
31,Yes,Travel_Frequently,Research & Development,20,Bachelors,Life Sciences,587,Low,Male,High,Senior,Healthcare Representative,High,Married,9824,3,No,12,Excellent,Low,None,12,2,Better,1,0,0,0
34,Yes,Travel_Frequently,Human Resources,23,Bachelors,Human Resources,590,Medium,Female,High,Senior,Human Resources,Low,Divorced,9950,9,Yes,15,Excellent,High,High,11,2,Better,3,2,0,2
42,No,Travel_Frequently,Research & Development,5,College,Other,591,Medium,Male,High,Entry,Laboratory Technician,High,Married,2093,4,No,17,Excellent,Very High,Low,8,4,Better,2,2,2,0
36,No,Non-Travel,Sales,10,Masters,Medical,592,Medium,Male,High,Senior,Sales Executive,Very High,Single,9980,1,No,14,Excellent,Very High,None,10,3,Good,10,3,9,7
22,Yes,Travel_Frequently,Research & Development,4,Below College,Technical Degree,593,High,Male,Medium,Entry,Laboratory Technician,High,Single,3894,5,No,16,Excellent,High,None,4,3,Better,2,2,1,2
48,No,Travel_Rarely,Sales,2,Doctorate,Marketing,595,Medium,Female,High,Experienced,Sales Executive,Very High,Married,4051,2,No,14,Excellent,Low,Low,14,2,Better,9,7,6,7
55,No,Travel_Rarely,Sales,18,Doctorate,Life Sciences,597,Low,Female,High,Manager,Manager,Medium,Single,16835,3,No,23,Outstanding,Very High,None,37,2,Better,10,9,7,7
41,No,Non-Travel,Sales,10,College,Life Sciences,599,Very High,Male,High,Experienced,Sales Executive,Very High,Single,6230,7,No,14,Excellent,Very High,None,16,3,Better,14,3,1,10
35,No,Travel_Rarely,Sales,1,Bachelors,Marketing,600,Medium,Male,High,Experienced,Sales Executive,High,Married,4717,9,No,11,Excellent,High,None,15,2,Better,11,9,6,9
40,No,Travel_Rarely,Research & Development,6,Bachelors,Life Sciences,601,Medium,Female,High,Manager,Manufacturing Director,High,Single,13237,7,No,15,Excellent,High,None,22,3,Better,20,6,5,13
39,No,Travel_Frequently,Research & Development,8,Below College,Life Sciences,602,High,Female,High,Entry,Laboratory Technician,High,Married,3755,1,No,11,Excellent,Low,Low,8,3,Better,8,3,0,7
31,No,Travel_Rarely,Sales,2,Below College,Life Sciences,604,Medium,Male,High,Experienced,Sales Executive,Very High,Single,6582,4,Yes,13,Excellent,High,None,10,2,Best,6,5,0,5
42,No,Travel_Rarely,Research & Development,24,Bachelors,Medical,605,Very High,Male,High,Senior,Manufacturing Director,Low,Married,7406,1,Yes,21,Outstanding,Very High,Low,10,5,Good,10,9,5,8
45,No,Travel_Rarely,Sales,2,Bachelors,Other,606,Very High,Male,High,Experienced,Sales Executive,Medium,Married,4805,0,No,19,Excellent,Medium,Low,9,3,Best,8,7,3,7
26,Yes,Travel_Frequently,Human Resources,17,Masters,Life Sciences,608,Medium,Female,High,Entry,Human Resources,High,Divorced,2741,0,Yes,11,Excellent,Medium,Low,8,2,Good,7,7,1,0
29,No,Travel_Rarely,Research & Development,19,Bachelors,Technical Degree,611,Very High,Male,High,Experienced,Manufacturing Director,Very High,Divorced,4262,4,No,12,Excellent,Medium,Medium,8,2,Best,3,2,1,2
33,No,Travel_Rarely,Research & Development,1,Doctorate,Medical,612,Low,Female,Very High,Manager,Research Director,High,Divorced,16184,4,No,19,Excellent,High,Low,10,2,Better,6,1,0,5
31,No,Travel_Rarely,Sales,7,Bachelors,Life Sciences,613,High,Male,Medium,Senior,Manager,Very High,Divorced,11557,9,No,21,Outstanding,High,Low,10,3,Good,5,4,0,1
18,Yes,Travel_Frequently,Sales,5,Bachelors,Marketing,614,Medium,Male,High,Entry,Sales Representative,Medium,Single,1878,1,Yes,14,Excellent,Very High,None,0,3,Better,0,0,0,0
40,No,Non-Travel,Sales,28,Bachelors,Other,615,High,Male,Low,Senior,Sales Executive,Low,Divorced,10932,3,No,15,Excellent,High,Low,20,2,Better,1,0,0,1
41,No,Non-Travel,Research & Development,2,Masters,Other,616,Low,Female,Medium,Experienced,Healthcare Representative,High,Single,6811,2,Yes,17,Excellent,Low,None,10,3,Better,8,7,0,7
26,No,Travel_Rarely,Sales,29,College,Medical,618,Low,Male,High,Experienced,Sales Executive,High,Divorced,4306,5,No,12,Excellent,Low,Medium,8,5,Better,0,0,0,0
35,No,Travel_Rarely,Sales,1,Bachelors,Medical,620,Low,Female,High,Experienced,Sales Executive,High,Single,4859,1,No,16,Excellent,Very High,None,5,3,Better,5,4,0,3
34,No,Travel_Rarely,Sales,21,Masters,Life Sciences,621,Very High,Male,Very High,Experienced,Sales Executive,Very High,Single,5337,1,No,12,Excellent,Very High,None,10,3,Better,10,7,5,7
26,Yes,Travel_Rarely,Research & Development,24,Bachelors,Technical Degree,622,High,Male,Low,Entry,Laboratory Technician,Very High,Single,2340,1,Yes,18,Excellent,Medium,None,1,3,Bad,1,0,0,0
37,No,Travel_Rarely,Research & Development,1,Bachelors,Technical Degree,623,Medium,Female,High,Senior,Manufacturing Director,Very High,Single,7491,4,No,17,Excellent,Very High,None,12,3,Best,6,5,1,2
46,No,Travel_Frequently,Research & Development,18,Below College,Medical,624,Low,Female,High,Senior,Healthcare Representative,High,Married,10527,5,No,11,Excellent,Very High,None,28,3,Good,2,2,1,2
41,No,Travel_Rarely,Sales,2,Doctorate,Life Sciences,625,Medium,Female,High,Manager,Manager,Low,Married,16595,7,No,16,Excellent,Medium,Low,22,2,Better,18,16,11,8
37,No,Non-Travel,Sales,9,Masters,Medical,626,Low,Male,High,Senior,Sales Executive,Medium,Divorced,8834,1,No,13,Excellent,Very High,Low,9,6,Better,9,5,7,7
52,No,Travel_Rarely,Research & Development,6,College,Technical Degree,630,Very High,Male,High,Experienced,Research Scientist,Low,Divorced,5577,3,Yes,12,Excellent,Medium,Medium,18,3,Better,10,9,6,9
32,Yes,Non-Travel,Sales,11,Masters,Other,631,Very High,Male,Very High,Experienced,Sales Executive,High,Married,4707,8,No,12,Excellent,Very High,None,6,2,Better,4,2,1,2
24,No,Travel_Frequently,Sales,24,Bachelors,Medical,632,Very High,Male,High,Entry,Sales Representative,Very High,Married,2400,0,No,13,Excellent,High,Medium,3,3,Better,2,2,2,1
38,No,Travel_Rarely,Research & Development,10,Bachelors,Medical,634,High,Female,High,Experienced,Healthcare Representative,High,Married,9824,3,No,19,Excellent,High,Low,18,4,Better,1,0,0,0
37,No,Travel_Rarely,Research & Development,1,Masters,Life Sciences,635,Medium,Female,High,Experienced,Manufacturing Director,Medium,Married,6447,6,No,12,Excellent,Medium,Low,8,2,Good,6,5,4,3
49,No,Travel_Rarely,Research & Development,18,Masters,Life Sciences,638,Very High,Male,Medium,Director,Research Director,High,Divorced,19502,1,Yes,17,Excellent,High,Low,31,5,Better,31,9,0,9
24,No,Travel_Rarely,Research & Development,23,Bachelors,Medical,639,Medium,Male,Very High,Entry,Research Scientist,Very High,Married,2725,1,Yes,11,Excellent,Medium,Medium,6,3,Better,6,5,1,4
26,No,Travel_Rarely,Sales,28,College,Marketing,641,Low,Male,High,Experienced,Sales Executive,Medium,Married,6272,1,No,20,Outstanding,Very High,Medium,6,5,Best,5,3,1,4
24,No,Travel_Rarely,Research & Development,17,College,Other,643,Very High,Male,Medium,Entry,Laboratory Technician,Medium,Married,2127,1,No,21,Outstanding,Very High,Low,1,2,Better,1,0,0,0
50,No,Travel_Frequently,Human Resources,3,Bachelors,Medical,644,Low,Male,High,Director,Manager,Medium,Married,18200,1,No,11,Excellent,High,Low,32,2,Better,32,5,10,7
25,No,Travel_Rarely,Sales,13,Below College,Medical,645,Medium,Male,High,Entry,Sales Representative,High,Married,2096,1,No,11,Excellent,High,None,7,1,Better,7,4,0,6
24,Yes,Travel_Frequently,Research & Development,7,Bachelors,Life Sciences,647,Low,Female,High,Entry,Laboratory Technician,High,Married,2886,1,Yes,16,Excellent,Very High,Low,6,4,Better,6,3,1,2
30,Yes,Travel_Frequently,Sales,12,Masters,Life Sciences,648,Medium,Male,Medium,Entry,Sales Representative,Low,Married,2033,1,No,18,Excellent,High,Low,1,2,Best,1,0,0,0
34,No,Travel_Rarely,Research & Development,1,College,Life Sciences,649,Medium,Male,Medium,Entry,Research Scientist,Very High,Married,3622,1,Yes,13,Excellent,Very High,Low,6,3,Better,6,5,1,3
31,Yes,Travel_Rarely,Sales,13,Masters,Medical,650,Medium,Male,High,Experienced,Sales Executive,Low,Divorced,4233,2,No,17,Excellent,High,None,9,2,Bad,3,1,1,2
35,No,Travel_Rarely,Research & Development,25,College,Other,652,Low,Male,Medium,Experienced,Laboratory Technician,Very High,Single,3681,4,No,14,Excellent,Very High,None,9,3,Better,3,2,0,2
31,No,Travel_Rarely,Sales,6,Masters,Medical,653,Low,Male,Very High,Experienced,Sales Executive,Very High,Divorced,5460,4,No,22,Outstanding,Very High,Medium,13,4,Best,7,7,5,7
27,No,Travel_Rarely,Research & Development,6,Masters,Medical,655,Low,Female,Medium,Entry,Research Scientist,High,Divorced,2187,0,No,12,Excellent,High,Medium,6,5,Good,5,3,0,3
37,No,Travel_Rarely,Sales,2,Bachelors,Marketing,656,Very High,Male,High,Experienced,Sales Executive,High,Married,9602,4,Yes,11,Excellent,High,Low,17,3,Good,3,0,1,0
20,No,Travel_Rarely,Research & Development,1,Bachelors,Life Sciences,657,Very High,Female,Medium,Entry,Research Scientist,Medium,Single,2836,1,No,13,Excellent,Very High,None,1,0,Best,1,0,0,0
42,No,Travel_Rarely,Research & Development,2,Masters,Life Sciences,659,High,Female,High,Experienced,Healthcare Representative,Very High,Married,4089,1,No,13,Excellent,Medium,Medium,10,4,Better,10,2,2,2
43,No,Travel_Rarely,Research & Development,6,Masters,Other,661,Medium,Male,Medium,Manager,Research Director,Very High,Divorced,16627,4,Yes,14,Excellent,High,Low,21,3,Good,1,0,0,0
